,Dataset,Precision,Recall,F1_measure,Accuracy
0,HDFS,0.999992,0.999961,0.999976,0.997500
1,Hadoop,0.999309,0.999091,0.999200,0.980000
2,Spark,1.000000,1.000000,1.000000,1.000000
3,Zookeeper,0.999899,0.999747,0.999823,0.994500
4,BGL,0.999604,0.999471,0.999537,0.988500
5,HPC,0.999990,0.999938,0.999964,0.996000
6,Thunderbird,0.998919,0.998491,0.998705,0.959000
7,Windows,1.000000,1.000000,1.000000,1.000000
8,Linux,0.999797,0.999963,0.999880,0.987500
9,Android,0.995350,0.988497,0.991912,0.956000
10,HealthApp,1.000000,1.000000,1.000000,1.000000
11,Apache,1.000000,1.000000,1.000000,1.000000
12,Proxifier,1.000000,1.000000,1.000000,1.000000
13,OpenSSH,1.000000,1.000000,1.000000,1.000000
14,OpenStack,1.000000,1.000000,1.000000,1.000000
15,Mac,0.981664,0.983584,0.982623,0.956000
